pubid,gsid,univ
10083016688209553153,vrHhOlUAAAAJ,Boston University
10083355528862412212,vuKTnnsAAAAJ,Washington University in St. Louis
10084243679395993857,6Kuq1acAAAAJ,Ohio State University
10084243679395993857,C7htwEIAAAAJ,Ohio State University
10085352714942382499,GHz1ZVIAAAAJ,University of Minnesota
10085523528592017492,El-R5MEAAAAJ,University of Maryland - College Park
10085523528592017492,UsP45DwAAAAJ,Rochester Institute of Technology
10086323356796097870,wRYM4qgAAAAJ,University of California - Santa Barbara
10086382193889665538,7ASJ6JoAAAAJ,University of California - Irvine
10086487478132843541,Bv6qOYsAAAAJ,University of Illinois at Chicago
10087090323002110897,sXM8J5EAAAAJ,University of Arizona
10087374084477798342,5wgTi1AAAAAJ,University of Michigan
10088346166061513069,s_YDrrgAAAAJ,University of Washington
10088605780459822498,017pCpkAAAAJ,University of Pittsburgh
10088621720375612142,orHlhhQAAAAJ,Univ. of Illinois at Urbana-Champaign
10088900478015189490,bxi6JXYAAAAJ,Yale University
10089167007822195339,n6bjh24AAAAJ,University of Minnesota
1008917260420722205,NHIpV98AAAAJ,University of California - Berkeley
10089199015492594253,GTmdNU0AAAAJ,Stanford University
10089210375893736907,XkiApd4AAAAJ,University of California - Santa Cruz
10089422811133596969,pGz5U34AAAAJ,Stevens Institute of Technology
10089548572229156235,COjq9XUAAAAJ,University of Chicago
10090113542581652243,cLssJjcAAAAJ,University of Texas at Arlington
10090597520456816107,EGBMBTwAAAAJ,Washington University in St. Louis
10091120980351553316,Q1xQdWUAAAAJ,University of North Texas
10091824484046346299,Q-As1CEAAAAJ,University of Virginia
10092471799259476371,71OktocAAAAJ,University of Michigan
10092471799259476371,IdWa_JkAAAAJ,Georgia Institute of Technology
10093007848087867108,DHruBmIAAAAJ,University of Texas at San Antonio
10093007848087867108,VIwtdckAAAAJ,Georgia Institute of Technology
10093133133142846616,LnB5_AcAAAAJ,University of California - San Diego
10093645694344878273,oQsObk0AAAAJ,Stanford University
10093732336818267945,pi3Z8FgAAAAJ,Arizona State University
10093732336818267945,y5J0h7gAAAAJ,University of Michigan
1009385646738941095,p8gsO3gAAAAJ,University of Central Florida
10093995074363024809,NiRqwkcAAAAJ,Rutgers University
10094313737945770514,-R9W7IkAAAAJ,Indiana University
10094915284128331680,GcMKuu8AAAAJ,University of Colorado Boulder
10095403412066173905,ac1SojMAAAAJ,Massachusetts Institute of Technology
10095632243892857347,vaQGFLsAAAAJ,University of California - Santa Barbara
10095760441675339598,o3ol4ZcAAAAJ,University at Buffalo
10096309499082847642,MKSxZp4AAAAJ,Georgia Institute of Technology
1009691036690300963,DxQiCiIAAAAJ,Rutgers University
10097189800506051559,OsIZgIYAAAAJ,Johns Hopkins University
10097353709258117195,yxUduqMAAAAJ,University of California - Berkeley
10097607691519807615,RRmQyu8AAAAJ,University of Texas at Arlington
10098042780661009434,CBUpEcQAAAAJ,Princeton University
10098359095026215803,9TAiIIMAAAAJ,Carnegie Mellon University
10098683201308229966,gM1DWK8AAAAJ,North Carolina State University
1009894300717225658,hnuQ6PMAAAAJ,George Mason University
10098981891801910421,HvNdFJcAAAAJ,University of Connecticut
10100414939287549216,GHGHYZAAAAAJ,West Virginia University
10100863520385871339,wlosgkoAAAAJ,Carnegie Mellon University
10100923902586667771,Sm14jYIAAAAJ,University of Pennsylvania
10101799157200916298,PR-ZnJUAAAAJ,Carnegie Mellon University
10102030186374228766,x2mdFuwAAAAJ,Washington State University
10102289160252869802,siQDY4gAAAAJ,Northeastern University
10102476347663095674,CxIxSBEAAAAJ,University of Illinois at Chicago
10102476347663095674,FsBCAfgAAAAJ,Cornell University
10103691490761120264,CUbC2zYAAAAJ,University of Wisconsin - Madison
10105207184962772591,xe2AIQkAAAAJ,Southern Methodist University
10105322084567709783,8iQk0DIAAAAJ,University of Pennsylvania
10105322084567709783,kLUQrrYAAAAJ,University of Pennsylvania
1010541527517696005,9xbbxGcAAAAJ,University of California - Riverside
10105553594790301838,nNU3STcAAAAJ,Johns Hopkins University
10106206814605484442,58cKLg4AAAAJ,University of Colorado Boulder
10106538845502055849,b3tUsfEAAAAJ,Georgetown University
10106538845502055849,uUXCSMkAAAAJ,Georgetown University
10107920288167290820,uFJi3IUAAAAJ,University of California - Berkeley
10107920288167290820,vlgs4G4AAAAJ,University of Washington
10108330154498272115,IdRYT-8AAAAJ,Northwestern University
1010847964543667131,u97Fg9IAAAAJ,Queen’s University
10109521222392870905,5wppdUoAAAAJ,Washington University in St. Louis
10109542660388684743,fSQCT0YAAAAJ,Pennsylvania State University
10109542660388684743,UyeTBeoAAAAJ,Pennsylvania State University
10110529509357847709,0irVeiQAAAAJ,Carnegie Mellon University
10110681582794389196,lsYXBx8AAAAJ,Massachusetts Institute of Technology
10110933968490498393,CHIZtZAAAAAJ,University of Michigan
10110933968490498393,LiH53A8AAAAJ,Stanford University
10111313622462129717,vEcgp3AAAAAJ,Pennsylvania State University
1011145477182511519,8Lp0W54AAAAJ,Cornell University
1011193794891867475,_dzO69sAAAAJ,Arizona State University
1011193794891867475,hsJqhNAAAAAJ,Arizona State University
1011193794891867475,l6M4h_YAAAAJ,Rochester Institute of Technology
10111996816935173414,EjLI14IAAAAJ,University of Central Florida
10112006481671171440,-0LFOnYAAAAJ,University of Texas - El Paso
10112200903498974121,Ezrt3pkAAAAJ,Brown University
1011302009589558994,JtTsVAkAAAAJ,University of Tulsa
10113151146561465005,Rh16nsIAAAAJ,Cornell University
10114964215109751294,Rh16nsIAAAAJ,Cornell University
10115181443496563148,IAFscrMAAAAJ,Rochester Institute of Technology
