gsid,name,university
4tMapHYAAAAJ,Eytan Adar,University of Michigan
4Tnj6PcAAAAJ,Benjamin C. Lee,Duke University
4tqv2FYAAAAJ,Xuan Guo,University of North Texas
4Ts9jNQAAAAJ,Alan Sussman,University of Maryland - College Park
4Urexvi1sIcC,Konstantinos Karydis,University of California - Riverside
4uuuczIAAAAJ,Pat Pannuto,University of California - San Diego
4UyniXYAAAAJ,Vincent Ng,University of Texas at Dallas
4uypulQAAAAJ,Paul Barford,University of Wisconsin - Madison
4VJre9IAAAAJ,John A. Stankovic,University of Virginia
4vLOo4wAAAAJ,Vivek Sarin,Texas A&M University
4wcAVXAAAAAJ,Jian Peng 0001,Univ. of Illinois at Urbana-Champaign
4wXYfSUAAAAJ,Scott Niekum,University of Texas at Austin
4xAVBVIAAAAJ,Sanjay Madria,Missouri University of Technology
4XyoYbAAAAAJ,Gary M. Olson,University of California - Irvine
53RlhUcAAAAJ,Douglas Thain,University of Notre Dame
540aJY8AAAAJ,Philippos Mordohai,Stevens Institute of Technology
54HfyDIAAAAJ,Chenliang Xu,University of Rochester
55B-xqUAAAAJ,Theophilus Benson,Brown University
55TAOdgAAAAJ,Sewoong Oh,University of Washington
568MtVQAAAAJ,Aaron Stump,University of Iowa
56EZh6YAAAAJ,Ryan Farrell,Brigham Young University
56UT_6IAAAAJ,James Pustejovsky,Brandeis University
58cKLg4AAAAJ,Lawrence Hunter,University of Colorado Boulder
58Yv3zUAAAAJ,Baruch Schieber,NJIT
59zyQMYAAAAJ,Glenn Reinman,University of California - Los Angeles
5Aut7EEAAAAJ,Garrison W. Cottrell,University of California - San Diego
5AWXENIAAAAJ,Yiying Zhang,University of California - San Diego
5b8D1MgAAAAJ,Marco Gaboardi,Boston University
5BnVZi4AAAAJ,Jenay M. Beer,University of South Carolina
5bxyMBwAAAAJ,Stephen Chong,Harvard University
5cJzDZEAAAAJ,Lujo Bauer,Carnegie Mellon University
5cS1i-UAAAAJ,Anne Marie Piper,Northwestern University
5ExRjncAAAAJ,Michelle L. Mazurek,University of Maryland - College Park
5f3w1p0AAAAJ,Shayok Chakraborty,Florida State University
5fiQ8-YAAAAJ,Ranjitha Kumar,Univ. of Illinois at Urbana-Champaign
5GQF2FwAAAAJ,Erik Winfree,California Institute of Technology
